time,I
0.093838,1012.60
0.196034,1001.94
0.296830,1001.94
0.397155,1006.78
0.498690,1013.57
0.599273,1013.57
0.700532,1004.84
0.801485,1004.84
0.902775,1030.04
1.004387,1030.04
1.107080,1012.60
1.222303,996.12
1.323243,996.12
1.424401,1003.88
1.525633,1034.88
1.626650,1034.88
1.727042,1024.22
1.828364,1003.88
1.930239,1003.88
2.031302,1000.00
2.132568,1001.94
2.235279,1001.94
2.337709,1028.10
2.438902,1035.85
2.542279,1035.85
2.645011,1028.10
2.746249,1023.26
2.849155,1023.26
2.950564,1017.44
3.052508,1012.60
3.154007,1022.29
3.256793,1022.29
3.356982,1013.57
3.470453,1007.75
3.571721,1007.75
3.672713,1019.38
3.772717,1009.69
3.874180,1009.69
3.975918,1030.04
4.077501,1010.66
4.178485,1010.66
4.281146,1017.44
4.382285,995.16
4.484678,995.16
4.586016,1012.60
4.688225,1009.69
4.789373,1009.69
4.891172,1021.32
4.993102,1024.22
5.094124,1024.22
5.196023,1021.32
5.296986,1003.88
5.399582,1003.88
5.502186,1030.04
5.603495,999.03
5.704399,1023.26
5.805384,1023.26
5.906317,1007.75
6.007215,1002.91
6.109022,1002.91
6.211187,1010.66
6.322820,1021.32
6.424940,1021.32
6.526280,993.22
6.627511,999.03
6.730071,999.03
6.831550,1032.95
6.932992,1020.35
7.035013,1020.35
7.136792,984.50
7.237660,994.19
7.338952,994.19
7.441554,992.25
7.542469,983.53
7.645194,983.53
7.747973,983.53
7.849985,976.74
7.951542,976.74
8.053653,999.03
8.155090,985.47
8.256862,982.56
8.357723,982.56
8.458507,1005.81
8.575250,983.53
8.677893,983.53
8.779362,1000.00
8.880563,1019.38
8.982370,1019.38
9.084473,1016.47
9.185017,1013.57
9.287110,1013.57
9.388350,1011.63
9.489820,1000.00
9.592740,1000.00
9.693262,998.06
9.794319,977.71
9.895976,977.71
9.999329,1017.44
10.100664,965.12
10.201215,965.12
10.303927,972.87
10.405803,978.68
10.507387,1018.41
10.608273,1018.41
