time,I
0.051231,1055.23
0.152669,1057.17
0.253960,1063.95
0.354336,1063.95
0.455665,1066.86
0.556083,1071.71
0.657642,1071.71
0.758069,1074.61
0.857835,1071.71
0.959235,1071.71
1.061571,1073.64
1.162261,1071.71
1.263278,1071.71
1.365401,1055.23
1.466195,1042.64
1.567697,1042.64
1.668438,1047.48
1.769163,1050.39
1.870273,1050.39
1.972270,1048.45
2.074113,1053.29
2.177429,1053.29
2.280428,1053.29
2.381403,1051.36
2.481677,1050.39
2.584090,1050.39
2.685532,1059.11
2.786147,1063.95
2.886319,1063.95
2.988102,1050.39
3.103923,1034.88
3.205405,1034.88
3.306438,1038.76
3.407711,1053.29
3.509508,1053.29
3.611742,1032.95
3.712777,1031.98
3.813831,1031.98
3.914914,1035.85
4.015434,1051.36
4.117768,1051.36
4.219453,1050.39
4.321496,1048.45
4.422326,1048.45
4.525075,1043.60
4.627409,1048.45
4.729383,1048.45
4.831222,1030.04
4.932886,1029.07
5.033519,1031.01
5.134998,1031.01
5.237159,1029.07
5.339665,1037.79
5.441440,1037.79
5.544122,1052.33
5.653895,1075.58
5.756386,1075.58
5.857743,1074.61
5.958455,1031.01
6.061331,1031.01
6.163407,1031.01
6.264860,1027.13
6.366740,1027.13
6.468183,1024.22
6.569601,1020.35
6.671083,1020.35
6.774063,1014.53
6.874863,1026.16
6.976167,1026.16
7.077373,1010.66
7.179050,1090.12
7.281456,1092.05
7.383668,1092.05
7.486299,1090.12
7.587810,1079.46
7.689779,1079.46
7.791216,1077.52
7.893216,1079.46
7.995395,1079.46
8.096905,1074.61
8.201919,1063.95
8.303883,1063.95
8.405271,1021.32
8.506479,1050.39
8.608121,1050.39
8.710011,1057.17
8.810163,1055.23
8.912734,1055.23
9.013826,1044.57
9.113985,1039.73
9.215999,1039.73
9.317458,1004.84
9.418172,1019.38
9.520725,1019.38
9.621983,1009.69
9.722444,1012.60
9.823429,1012.60
9.925571,1011.63
10.026459,1004.84
10.127854,1004.84
10.229380,1021.32
10.330450,1018.41
10.431283,1011.63
10.533438,1011.63
10.635636,1013.57
10.736376,1010.66
10.839251,1010.66
10.941002,1016.47
11.053575,1056.20
11.156201,1056.20
11.258027,1059.11
11.358134,1040.70
11.460605,1040.70
11.562879,1003.88
11.663913,1000.97
11.766338,1000.97
11.868276,1001.94
11.969810,1002.91
12.070366,1002.91
12.172489,1004.84
12.273639,1017.44
12.374590,1017.44
12.475254,1013.57
12.576419,1004.84
12.677900,1004.84
12.780608,995.16
12.882341,999.03
12.983626,1011.63
13.085408,1011.63
13.186674,988.37
13.287382,993.22
13.389559,993.22
13.491020,991.28
13.606412,989.34
13.709050,989.34
13.811086,989.34
13.912728,998.06
14.013757,998.06
14.114993,999.03
14.216043,993.22
14.318196,993.22
14.421038,1005.81
14.521726,1036.82
14.623773,1036.82
14.725722,996.12
14.826964,989.34
14.929307,989.34
15.030759,991.28
15.132243,995.16
15.234122,998.06
15.335930,998.06
15.436474,991.28
15.536999,998.06
15.638589,998.06
15.739824,990.31
15.840490,989.34
15.943100,989.34
16.045707,992.25
16.152803,989.34
16.254459,989.34
16.355757,982.56
16.460443,984.50
16.561707,984.50
16.662593,991.28
16.763635,992.25
16.865493,992.25
16.966390,983.53
17.068383,983.53
17.169851,983.53
17.271667,987.40
17.373256,985.47
17.474670,985.47
17.576575,983.53
17.678138,983.53
17.779480,983.53
17.881025,1000.97
17.981177,1035.85
18.083503,1009.69
18.185426,1009.69
18.287134,1005.81
18.387780,1006.78
18.488759,1006.78
18.589452,998.06
18.690076,1001.94
18.790565,1001.94
18.891657,1000.00
18.991557,1033.91
19.091752,1033.91
19.192990,1036.82
19.292844,1006.78
19.393441,1006.78
19.494068,1022.29
19.604869,1053.29
19.705234,1053.29
19.806940,1038.76
19.910680,981.59
20.011911,981.59
20.112795,986.43
20.213882,999.03
20.317491,999.03
20.421523,1055.23
20.522814,1032.95
20.624115,1032.95
20.727255,1053.29
20.828471,995.16
20.929480,1024.22
21.032176,1024.22
21.134454,1027.13
21.235630,1052.33
21.337455,1052.33
21.439260,1049.42
21.541069,1015.50
21.643896,1015.50
21.744991,1016.47
21.846357,1011.63
21.948066,1011.63
22.050992,1019.38
22.160690,1061.05
22.261856,1061.05
22.362641,1058.14
22.462747,1056.20
22.565095,1056.20
22.668245,1016.47
22.770097,1022.29
22.872015,1022.29
22.974048,1047.48
23.075005,1073.64
23.176078,1073.64
23.277386,1063.95
23.379098,1000.97
23.481463,989.34
23.584017,989.34
23.683955,1070.74
23.783655,1057.17
23.884777,1057.17
23.986403,1058.14
24.088484,969.96
24.189599,969.96
24.291348,982.56
24.392932,1041.67
24.495198,1041.67
24.596919,1059.11
24.711473,1000.97
24.813142,1000.97
24.915495,1008.72
25.017068,996.12
25.118567,996.12
25.223925,1024.22
25.324530,1007.75
25.426431,1007.75
25.528251,1054.26
25.629544,1079.46
25.729888,1062.98
25.832278,1062.98
25.933713,1055.23
26.034373,968.99
26.135512,968.99
26.236926,1011.63
26.337473,1023.26
26.438744,1023.26
26.539714,1036.82
26.640159,1037.79
26.741571,1037.79
26.842926,1042.64
26.944998,1033.91
27.046436,1033.91
27.148080,1029.07
27.249535,1003.88
27.350673,1003.88
27.452039,995.16
27.560746,1000.97
27.663036,1000.97
27.763757,1051.36
27.864591,1021.32
27.966998,1021.32
28.068478,974.81
28.169543,984.50
28.270464,984.50
28.371971,982.56
28.473611,982.56
28.574381,982.56
28.676008,1015.50
28.776060,1021.32
28.878514,1021.32
28.981185,1007.75
29.084385,1000.97
29.197299,995.16
29.300042,995.16
29.400741,996.12
29.513673,985.47
29.616880,985.47
29.718082,997.09
29.819270,1003.88
29.920459,1003.88
30.022246,1004.84
30.123257,977.71
30.225619,977.71
30.328172,1007.75
30.429276,979.65
30.530763,990.31
30.634054,990.31
30.736251,993.22
30.836983,992.25
30.937671,992.25
31.038372,984.50
31.140203,982.56
31.241703,982.56
31.342961,990.31
31.450573,978.68
31.551766,978.68
31.652583,1001.94
31.753146,983.53
31.855410,983.53
31.957438,992.25
32.065103,989.34
32.166383,989.34
32.267388,992.25
32.382381,989.34
32.493370,984.50
32.596163,984.50
32.697903,988.37
32.798727,981.59
32.899453,981.59
33.001406,975.78
33.102677,971.90
33.205051,971.90
33.306394,964.15
33.410438,962.21
33.511619,962.21
33.614674,962.21
33.715393,964.15
33.817508,964.15
33.918562,963.18
34.019516,969.96
34.121400,969.96
34.224358,968.99
34.325367,988.37
34.426409,988.37
34.529380,968.02
34.630382,975.78
34.732353,972.87
34.835140,972.87
34.937402,971.90
35.048630,974.81
35.149996,974.81
35.251683,978.68
35.352215,969.96
35.453414,969.96
35.554674,968.02
35.655456,971.90
35.757564,971.90
35.859822,976.74
35.961453,983.53
36.064184,983.53
36.166137,999.03
36.267990,1012.60
36.369340,1012.60
36.473866,1004.84
36.574531,993.22
36.676702,993.22
36.777795,1015.50
36.878849,1009.69
36.980065,1014.53
37.082041,1014.53
37.184853,993.22
37.284748,996.12
37.387682,996.12
37.488400,1003.88
37.596370,1007.75
37.697531,1007.75
37.798781,1009.69
37.903672,988.37
38.004340,988.37
38.107050,984.50
38.208488,988.37
38.309802,988.37
38.411462,990.31
38.511708,1000.97
38.612896,1000.97
38.713405,1006.78
38.814399,1013.57
38.915555,1013.57
39.017381,1014.53
39.119038,1025.19
39.222022,1025.19
39.324171,1028.10
39.426099,1022.29
39.528367,1022.29
39.631590,1013.57
39.733230,1014.53
39.834460,1016.47
39.936140,1016.47
40.037365,1004.84
40.148607,1007.75
40.250856,1007.75
40.352981,1007.75
40.453618,1006.78
40.554934,1006.78
40.655993,1012.60
40.758177,1012.60
40.861281,1012.60
40.964386,1011.63
41.065819,1006.78
41.167650,1006.78
41.269026,1006.78
41.369759,1018.41
41.471280,1018.41
41.573882,1014.53
41.674792,1008.72
41.775966,1008.72
41.877599,1007.75
41.979123,1003.88
42.080657,1003.88
42.182221,1009.69
42.283688,1010.66
42.383595,1011.63
42.485505,1011.63
42.586413,1009.69
42.699153,1016.47
42.801400,1016.47
42.902796,1014.53
43.003977,1005.81
43.105496,1005.81
43.206855,1006.78
43.307176,1003.88
43.409449,1003.88
43.512449,1004.84
43.613728,1000.97
43.715171,1000.97
43.817632,1001.94
43.918924,995.16
44.019784,995.16
44.121590,995.16
44.223664,990.31
44.325141,990.31
44.427775,987.40
44.529249,986.43
44.630735,983.53
44.733227,983.53
44.834961,987.40
44.934629,988.37
45.036628,988.37
45.139003,986.43
45.250067,993.22
45.351684,993.22
45.453275,987.40
45.554894,989.34
45.656095,989.34
45.757466,988.37
45.858634,983.53
45.959414,983.53
46.062064,981.59
46.162506,996.12
46.264443,996.12
46.366429,999.03
46.466907,1009.69
46.568194,1009.69
46.670249,1013.57
46.772048,1004.84
46.873825,1004.84
46.974494,1000.97
47.076652,1001.94
47.177511,1001.94
47.278633,999.03
47.379469,1002.91
47.481455,1000.97
47.584044,1000.97
47.685759,1000.97
47.785962,998.06
47.887087,998.06
47.989446,994.19
48.101782,987.40
48.202623,987.40
48.304205,986.43
48.405084,983.53
48.508344,983.53
48.609561,988.37
48.710107,1033.91
48.812905,1033.91
48.913150,1036.82
49.013321,1025.19
49.115196,1025.19
49.217488,1027.13
49.318480,1021.32
49.421314,1021.32
49.524131,1016.47
49.627540,1016.47
49.729066,1016.47
49.832460,1017.44
49.933299,1014.53
50.034711,1017.44
50.136254,1017.44
50.238952,1012.60
50.351893,1004.84
50.453417,1004.84
50.554374,999.03
50.655054,994.19
50.756517,994.19
50.857853,993.22
50.959028,980.62
51.062001,980.62
51.164461,972.87
51.266180,1009.69
51.368592,1009.69
51.470015,1012.60
51.571007,1015.50
51.673741,1015.50
51.774508,1006.78
51.876010,1002.91
51.977365,1002.91
52.079204,1000.00
52.180468,1019.38
52.281097,1016.47
52.384289,1016.47
52.485990,1009.69
52.586590,1009.69
52.687119,1009.69
52.789319,1005.81
52.904034,1007.75
53.005760,1007.75
53.107057,1005.81
53.208504,1003.88
53.310193,1003.88
53.412363,1000.00
53.513561,996.12
53.614895,996.12
53.716672,1018.41
53.817603,1024.22
53.918405,1024.22
54.019237,1029.07
54.120003,1018.41
54.220235,1018.41
54.321570,1019.38
54.422139,1021.32
54.522923,1021.32
54.623517,1017.44
54.723764,1023.26
54.824251,1023.26
54.925009,1025.19
55.025032,1029.07
55.125430,1029.07
55.226668,1031.01
55.327127,1029.07
55.427088,1029.07
55.527754,1027.13
55.628354,1025.19
55.728988,1073.64
55.829837,1073.64
55.931136,1067.83
56.032123,1061.05
56.132893,1061.05
56.233305,1053.29
56.333997,1017.44
56.435180,1017.44
56.537184,1004.84
56.639655,1032.95
56.741102,1032.95
56.842670,1021.32
56.954429,1015.50
57.057246,1015.50
57.159738,1038.76
57.259701,1048.45
57.361434,1048.45
57.463077,1032.95
57.565136,992.25
57.667790,992.25
57.769448,1013.57
57.870826,1004.84
57.972430,1004.84
58.073748,1018.41
58.174540,1032.95
58.276439,1032.95
58.378406,1024.22
58.480522,1019.38
58.582259,1037.79
58.683589,1037.79
58.784738,1064.92
58.885504,1035.85
58.986636,1035.85
59.087854,1007.75
59.188816,1010.66
59.290320,1010.66
59.392586,1019.38
59.506623,1015.50
59.609275,1015.50
59.710414,1019.38
59.811376,1021.32
59.912706,1021.32
60.013911,1013.57
60.114818,1031.98
60.215460,1031.98
