time,I
0.033024,28.10
0.133336,28.10
0.234808,28.10
0.335888,28.10
0.436321,28.10
0.537703,28.10
0.639155,28.10
0.739812,28.10
0.840919,28.10
0.949060,28.10
1.051767,28.10
1.153257,28.10
1.254871,28.10
1.356701,28.10
1.457716,28.10
1.559472,28.10
1.660897,28.10
1.762638,28.10
1.863873,28.10
1.964627,28.10
2.065537,28.10
2.167536,28.10
2.269407,28.10
2.371258,29.07
2.472421,29.07
2.573655,28.10
2.676492,28.10
2.778249,28.10
2.880756,29.07
2.981461,29.07
3.084136,29.07
3.184858,29.07
3.285904,29.07
3.386780,29.07
3.488850,29.07
3.589592,29.07
3.691160,29.07
3.791662,29.07
3.893918,29.07
3.995738,29.07
4.096694,29.07
4.198791,29.07
4.300026,29.07
4.403147,29.07
4.504156,29.07
4.605486,29.07
4.706897,29.07
4.807659,29.07
4.909985,29.07
5.011340,28.10
5.113462,29.07
5.215148,29.07
5.315448,29.07
5.416646,29.07
5.518198,29.07
5.619924,29.07
5.721191,28.10
5.821502,29.07
5.922722,29.07
6.024059,29.07
6.125877,29.07
6.226909,29.07
6.328659,28.10
6.429801,29.07
6.532552,28.10
6.639562,29.07
6.740987,29.07
6.842510,29.07
6.944314,29.07
7.045821,28.10
7.146738,29.07
7.248669,30.04
7.351396,28.10
7.453553,28.10
7.554387,28.10
7.656795,28.10
7.757763,28.10
7.858659,27.13
7.960271,29.07
8.061478,28.10
8.163148,27.13
8.263674,27.13
8.366772,28.10
8.467912,27.13
8.568575,28.10
8.669633,27.13
8.772368,27.13
8.873733,28.10
8.975605,28.10
9.077399,27.13
9.187136,28.10
9.287715,28.10
9.389536,27.13
9.492006,28.10
9.593158,28.10
9.694322,28.10
9.795743,27.13
9.897077,28.10
9.999686,28.10
10.101700,27.13
10.203876,27.13
10.305051,27.13
10.405429,28.10
10.507749,27.13
10.609198,27.13
10.710888,29.07
10.812062,28.10
10.914058,28.10
11.015808,27.13
11.117118,29.07
11.219721,29.07
11.320710,29.07
11.423357,28.10
11.526529,28.10
11.629148,29.07
11.730082,29.07
11.832588,29.07
11.935376,28.10
12.043247,29.07
12.145340,28.10
12.248086,28.10
12.348233,28.10
12.449763,29.07
12.551448,29.07
12.653043,27.13
12.755555,29.07
12.857501,29.07
12.959584,28.10
13.061312,29.07
13.164152,29.07
13.264866,29.07
13.366998,28.10
13.469031,28.10
13.570513,29.07
13.672149,29.07
13.773381,28.10
13.876048,28.10
13.976438,28.10
14.077857,29.07
14.178812,28.10
14.279498,27.13
14.381019,28.10
14.481775,29.07
14.584012,29.07
14.684274,29.07
14.784595,27.13
14.889821,28.10
14.990852,26.16
15.093539,28.10
15.194439,27.13
15.296232,27.13
15.396724,29.07
15.498900,27.13
15.600748,27.13
15.701597,27.13
15.803165,27.13
15.904633,27.13
16.005794,27.13
16.108233,26.16
16.209651,26.16
16.310338,27.13
16.412161,27.13
16.512958,26.16
16.613745,27.13
16.715784,26.16
16.817284,26.16
16.918714,26.16
17.020001,27.13
17.121184,26.16
17.222702,26.16
17.324374,26.16
17.427492,26.16
17.530501,26.16
17.632185,26.16
17.733978,27.13
17.834085,26.16
17.935485,26.16
18.036304,26.16
18.136143,27.13
18.236572,26.16
18.338528,27.13
18.441626,27.13
18.544775,27.13
18.645383,27.13
18.748531,27.13
18.849932,27.13
18.950806,27.13
19.052783,27.13
19.154504,27.13
19.256649,27.13
19.359426,27.13
19.461457,27.13
19.564145,28.10
19.665129,27.13
19.766938,27.13
19.867912,27.13
19.969452,27.13
20.070924,27.13
20.173025,27.13
20.273937,28.10
20.376587,28.10
20.477874,28.10
20.580019,28.10
20.681382,28.10
20.782753,27.13
20.884808,27.13
20.987179,28.10
21.089548,28.10
21.190448,28.10
21.292224,28.10
21.393036,28.10
21.494878,28.10
21.597100,28.10
21.697625,28.10
21.798076,28.10
21.899995,28.10
22.002525,28.10
22.104533,28.10
22.205934,28.10
22.308245,28.10
22.408564,28.10
22.512700,28.10
22.615434,28.10
22.717058,28.10
22.817522,28.10
22.920250,28.10
23.021265,28.10
23.121618,28.10
23.223746,28.10
23.325068,28.10
23.424989,28.10
23.525800,28.10
23.627036,28.10
23.728744,28.10
23.831152,28.10
23.933535,28.10
24.036262,28.10
24.137540,28.10
24.240367,28.10
24.341153,28.10
24.443251,28.10
24.545416,28.10
24.649209,28.10
24.751097,28.10
24.852677,28.10
24.953989,28.10
25.056189,28.10
25.156722,28.10
25.257375,28.10
25.359661,28.10
25.461018,28.10
25.561349,28.10
25.661877,28.10
25.763087,28.10
25.863786,28.10
25.965326,28.10
26.068052,28.10
26.168809,28.10
26.269392,28.10
26.371659,28.10
26.472974,28.10
26.573822,28.10
26.676739,28.10
26.778289,28.10
26.880102,28.10
26.981636,28.10
27.083728,28.10
27.185987,28.10
27.288238,28.10
27.389028,28.10
27.490802,28.10
27.592614,28.10
27.694102,28.10
27.795828,28.10
27.898331,28.10
28.000279,29.07
28.100494,29.07
28.202153,29.07
28.303908,28.10
28.405734,28.10
28.507301,29.07
28.607784,28.10
28.709894,29.07
28.811206,29.07
28.913720,28.10
29.014479,28.10
29.117201,29.07
29.217948,29.07
29.319573,28.10
29.420888,28.10
29.523307,28.10
29.624674,28.10
29.725623,28.10
29.827573,28.10
29.929551,28.10
30.031228,28.10
30.132442,28.10
