time,I
0.030850,162.79
0.131883,162.79
0.233789,157.95
0.349047,155.04
0.453846,155.04
0.555336,161.82
0.656639,158.91
0.757022,158.91
0.858594,162.79
0.960011,152.13
1.062142,152.13
1.163534,158.91
1.264431,157.95
1.365862,157.95
1.467271,153.10
1.569471,162.79
1.669366,159.88
1.771419,159.88
1.873045,161.82
1.975356,161.82
2.076708,161.82
2.178930,162.79
2.280959,159.88
2.382322,159.88
2.484220,161.82
2.586377,161.82
2.687841,161.82
2.789390,161.82
2.900656,162.79
3.002555,162.79
3.103374,161.82
3.204998,160.85
3.307306,160.85
3.408483,158.91
3.508966,151.16
3.611688,151.16
3.714991,150.19
3.816266,148.26
3.918155,148.26
4.020056,147.29
4.121565,152.13
4.222637,150.19
4.324254,150.19
4.426341,156.98
4.527261,147.29
4.630498,147.29
4.731769,152.13
4.833474,145.35
4.934326,145.35
5.035219,150.19
5.157369,147.29
5.259752,147.29
5.361228,153.10
5.462878,147.29
5.564804,147.29
5.667263,148.26
5.768259,147.29
5.868934,146.32
5.970319,146.32
6.072916,146.32
6.194127,149.22
6.295369,149.22
6.397418,147.29
6.522931,146.32
6.624311,147.29
6.726681,147.29
6.827865,146.32
6.931023,146.32
7.034151,146.32
7.136087,146.32
7.238968,146.32
7.340395,146.32
7.442564,147.29
7.553946,155.04
7.655463,155.04
7.757861,148.26
7.859454,147.29
7.961353,147.29
8.063927,145.35
8.165611,147.29
8.267852,147.29
8.370850,148.26
8.473055,147.29
8.580653,148.26
8.682667,148.26
8.783590,146.32
8.884421,146.32
8.987387,146.32
9.090136,144.38
9.204610,143.41
9.306542,143.41
9.407677,143.41
9.510100,147.29
9.611963,147.29
9.714514,146.32
9.815778,150.19
9.917147,150.19
10.019552,150.19
10.121966,149.22
10.223356,150.19
10.326313,150.19
10.427486,150.19
10.528338,148.26
10.630644,148.26
10.731830,148.26
10.834006,145.35
10.935345,145.35
11.038080,148.26
11.141341,148.26
11.243430,148.26
11.344959,150.19
11.456878,142.44
11.557668,142.44
11.658583,148.26
11.759122,154.07
11.861875,154.07
11.964041,142.44
12.064949,141.47
12.166721,141.47
12.267778,140.50
12.368883,141.47
12.485787,142.44
12.587336,142.44
12.688476,140.50
12.791048,149.22
12.892326,149.22
12.993213,144.38
13.094317,142.44
13.195974,142.44
13.297845,146.32
13.400155,144.38
13.502603,144.38
13.603673,142.44
13.704408,145.35
13.805559,145.35
13.907287,145.35
14.009242,145.35
14.111377,145.35
14.212716,141.47
14.313147,140.50
14.414598,140.50
14.515948,142.44
14.616932,144.38
14.718165,137.60
14.819251,137.60
14.920484,143.41
15.038389,144.38
15.139856,144.38
15.242521,142.44
15.344476,141.47
15.446387,141.47
15.547645,141.47
15.648215,139.53
15.748805,139.53
15.850610,139.53
15.951594,144.38
16.053418,144.38
16.156185,143.41
16.257516,142.44
16.359303,142.44
16.460652,142.44
16.561999,135.66
16.665377,135.66
16.767632,137.60
16.868167,139.53
16.968684,136.63
17.070377,136.63
17.171514,141.47
17.290542,144.38
17.392581,144.38
17.494755,141.47
17.595496,136.63
17.697547,136.63
17.798112,139.53
17.899150,143.41
18.000926,143.41
18.103182,139.53
18.204735,136.63
18.306282,136.63
18.407208,140.50
18.508700,136.63
18.611222,136.63
18.714283,142.44
18.816081,154.07
18.917220,149.22
19.018253,149.22
19.120273,142.44
19.224096,130.81
19.326857,130.81
19.429686,127.91
19.540238,138.57
19.642643,138.57
