time,I
0.034357,1068.80
0.135429,1068.80
0.236180,1070.74
0.336771,978.68
0.437735,978.68
0.538521,1021.32
0.639080,1021.32
0.740786,1021.32
0.842832,943.80
0.947502,1057.17
1.048534,1057.17
1.150052,1038.76
1.254343,969.96
1.356128,969.96
1.458120,1058.14
1.559812,989.34
1.660135,989.34
1.761243,938.95
1.862238,964.15
1.964102,964.15
2.065995,1029.07
2.167084,1015.50
2.269829,1015.50
2.371031,1058.14
2.472114,1054.26
2.574447,1054.26
2.674916,966.09
2.775569,1019.38
2.878125,1019.38
2.980682,984.50
3.081686,991.28
3.182610,994.19
3.284080,994.19
3.385558,989.34
3.485739,994.19
3.587510,994.19
3.688035,1012.60
3.790882,994.19
3.893083,994.19
3.995490,972.87
4.105513,1018.41
4.207779,1018.41
4.309094,996.12
4.410135,1029.07
4.511596,1029.07
4.612662,1072.67
4.713767,974.81
4.815267,974.81
4.916960,989.34
5.017830,994.19
5.119372,994.19
5.220913,882.75
5.321696,934.11
5.425771,934.11
5.527160,1041.67
5.628686,1040.70
5.729244,1040.70
5.832042,899.22
5.934227,1048.45
6.034937,918.60
6.135950,918.60
6.237255,1004.84
6.338629,1036.82
6.439965,1036.82
6.541566,965.12
6.655655,1008.72
6.758321,1008.72
6.860371,1031.01
6.960872,983.53
7.063945,983.53
7.167053,1095.93
7.268944,916.67
7.371463,916.67
7.472211,1002.91
7.573472,1052.33
7.676380,1052.33
7.777644,963.18
7.878416,1047.48
7.980285,1038.76
8.081918,1038.76
8.183665,1110.47
8.284370,994.19
8.385971,994.19
8.487000,1066.86
8.587668,1011.63
8.689118,1011.63
8.790102,967.05
8.891573,1054.26
8.994039,1054.26
9.095413,1056.20
9.207504,987.40
9.308693,987.40
9.409716,1055.23
9.510031,960.27
9.611794,960.27
9.712752,969.96
9.813270,941.86
9.914731,941.86
10.015768,978.68
10.116035,929.26
10.219118,929.26
10.322268,990.31
10.423618,1001.94
10.524938,1001.94
10.627224,962.21
10.729586,962.21
10.831278,995.16
10.932550,995.16
11.034767,958.33
11.134599,960.27
11.235648,960.27
11.336481,983.53
11.438168,959.30
11.539785,959.30
11.641028,802.33
11.741992,936.05
11.844271,936.05
11.947215,995.16
12.058456,984.50
12.160975,984.50
12.263406,946.71
12.364817,952.52
12.467327,952.52
12.570373,910.85
12.671220,906.01
12.772923,906.01
12.874888,869.19
12.976310,878.88
13.079114,878.88
13.180343,888.57
13.282009,912.79
13.384141,911.82
13.486902,911.82
13.588857,960.27
13.690713,924.42
13.792377,924.42
13.893118,935.08
13.994589,958.33
14.096628,958.33
14.197250,912.79
14.311109,936.05
14.412704,936.05
14.513611,927.33
14.613924,891.47
14.715911,891.47
14.819148,974.81
14.920831,951.55
15.023549,951.55
15.125380,965.12
15.226303,946.71
15.327334,946.71
15.428145,942.83
15.529107,968.02
15.630010,953.49
15.731740,953.49
15.832458,907.95
15.933001,914.73
16.034957,914.73
16.137066,923.45
16.238706,858.53
16.341095,858.53
16.442615,850.78
16.542844,825.58
16.643549,825.58
16.745278,895.35
16.847349,895.35
16.948355,895.35
17.051041,840.12
17.154927,786.82
17.257015,786.82
17.358632,802.33
17.458770,937.02
17.560025,937.02
17.661734,793.60
17.762085,832.36
17.864197,832.36
17.966416,826.55
18.067182,817.83
18.169544,817.83
18.270367,818.80
18.371790,848.84
18.472687,848.84
18.574459,837.21
18.675928,829.46
18.777978,829.46
18.879486,841.09
18.980638,913.76
19.080913,885.66
19.183264,885.66
19.285197,828.49
19.386652,794.57
19.487609,794.57
19.588701,840.12
19.689567,790.70
19.791288,790.70
19.892641,823.64
19.993941,855.62
20.095726,855.62
20.199999,875.97
20.311707,901.16
20.414723,901.16
20.515412,845.93
20.616543,860.47
20.717257,860.47
20.819099,889.53
20.920599,804.26
21.020827,804.26
21.123240,805.23
21.224943,816.86
21.326521,816.86
21.427969,828.49
21.529810,831.40
21.631764,827.52
21.732653,827.52
21.833728,811.05
21.934052,782.95
22.035754,782.95
22.136831,767.44
22.236577,791.67
22.338981,791.67
22.440253,804.26
22.542652,788.76
22.643550,788.76
22.744525,808.14
22.846086,824.61
22.948169,824.61
23.049903,854.65
23.159394,863.37
23.260838,863.37
23.363146,868.22
23.464151,841.09
23.566856,841.09
23.668744,847.87
23.770009,814.92
23.871632,814.92
23.974624,843.99
24.075939,845.93
24.179017,845.93
24.280557,860.47
24.381634,863.37
24.483499,864.34
24.585922,864.34
24.687598,852.71
24.788600,852.71
24.890685,852.71
24.991733,849.81
25.092115,845.93
25.193354,845.93
25.294983,839.15
25.396013,857.56
25.498143,857.56
25.600612,862.40
25.704580,884.69
25.804827,884.69
25.906391,887.60
26.012070,868.22
26.113421,868.22
26.214298,840.12
26.317234,840.12
26.419115,840.12
26.520963,814.92
26.622396,701.55
26.725012,701.55
26.826864,711.24
26.927650,726.74
27.029748,726.74
27.130274,737.40
27.231126,733.53
27.331863,724.81
27.434198,724.81
27.536036,738.37
27.638305,727.71
27.739080,727.71
27.840902,729.65
27.942399,750.00
28.043717,750.00
28.145521,744.19
28.246580,751.94
28.348565,751.94
28.449920,748.06
28.555364,739.34
28.658118,739.34
28.760958,757.75
28.862759,840.12
28.964059,840.12
29.065477,832.36
29.166702,817.83
29.267685,817.83
29.368380,808.14
29.469466,825.58
29.570697,825.58
29.672030,805.23
29.774009,828.49
29.875639,828.49
29.976929,817.83
30.078529,796.51
30.180123,796.51
30.283067,800.39
30.384487,796.51
30.497085,797.48
30.601489,797.48
30.703191,778.10
30.813340,773.26
30.914748,773.26
31.016756,774.22
31.117633,768.41
31.218713,768.41
31.319283,772.29
31.420980,774.22
31.523311,774.22
31.626181,777.13
31.727448,790.70
31.828284,790.70
31.929980,818.80
32.031963,794.57
32.142659,795.54
32.244410,795.54
32.346863,811.05
32.447529,822.67
32.549882,822.67
32.651019,816.86
32.752291,798.45
32.853414,798.45
32.954874,797.48
33.055071,780.04
33.156951,780.04
33.258678,799.42
33.359577,794.57
33.460708,794.57
33.561204,822.67
33.662606,801.36
33.763858,801.36
33.864682,772.29
33.965672,814.92
34.068096,814.92
34.169438,783.91
34.270928,796.51
34.373848,796.51
34.475135,784.88
34.576659,792.64
34.679203,792.64
34.781082,768.41
34.881682,805.23
34.983412,850.78
35.084774,850.78
35.186105,849.81
35.295734,816.86
35.398409,816.86
35.499479,808.14
35.600204,831.40
35.701920,831.40
35.803310,755.81
35.904597,772.29
36.005785,772.29
36.106891,763.57
36.207496,758.72
36.310054,758.72
36.411829,776.16
36.512155,764.53
36.614032,764.53
36.716514,857.56
36.817343,772.29
36.917906,772.29
37.018648,812.02
37.119027,827.52
37.220910,827.52
37.323059,794.57
37.424979,732.56
37.527293,732.56
37.628117,757.75
37.729295,787.79
37.830951,787.79
37.932625,789.73
38.034445,798.45
38.149459,843.02
38.251064,843.02
38.352266,846.90
38.453913,796.51
38.555444,796.51
38.658456,811.05
38.759325,808.14
38.862123,808.14
38.963346,821.71
39.064904,821.71
39.166691,821.71
39.267983,816.86
39.372198,797.48
39.474989,797.48
39.578075,794.57
39.680201,833.33
39.781448,828.49
39.883197,828.49
39.984362,838.18
40.085351,838.18
40.187903,838.18
40.290747,860.47
40.400775,857.56
40.501605,857.56
40.603402,858.53
40.704570,848.84
40.806482,848.84
40.908058,843.02
41.008763,850.78
41.109502,850.78
41.211086,845.93
41.312414,841.09
41.413873,841.09
41.514726,850.78
41.615884,866.28
41.719085,866.28
41.822044,903.10
41.923108,873.06
42.025028,873.06
42.127326,866.28
42.228250,869.19
42.330120,869.19
42.433375,859.50
42.535105,855.62
42.635990,857.56
42.738783,857.56
42.840682,855.62
42.952484,852.71
43.053551,852.71
43.155731,852.71
43.256155,858.53
43.358659,858.53
43.460147,855.62
43.560944,860.47
43.663261,860.47
43.766110,867.25
43.867599,863.37
43.969418,863.37
44.070343,872.09
44.170985,858.53
44.274161,858.53
44.375933,851.74
44.477960,859.50
44.579950,861.43
44.681484,861.43
44.782141,853.68
44.883463,850.78
44.984801,850.78
45.085900,857.56
45.186858,858.53
45.287654,858.53
45.388035,875.00
45.490526,854.65
45.593426,854.65
45.696080,854.65
45.805418,852.71
45.907166,852.71
46.008384,861.43
46.109373,922.48
46.211662,922.48
46.312801,877.91
46.413644,844.96
46.514465,844.96
46.617404,842.05
46.718746,827.52
46.820229,827.52
46.923073,846.90
47.024938,867.25
47.127265,867.25
47.230157,861.43
47.331408,862.40
47.432308,881.78
47.533336,881.78
47.634840,876.94
47.736411,851.74
47.838058,851.74
47.938989,837.21
48.053848,845.93
48.154742,845.93
48.255243,855.62
48.356141,843.02
48.458592,843.02
48.559189,876.94
48.660879,924.42
48.763144,924.42
48.864872,908.91
48.965108,832.36
49.067356,832.36
49.169374,842.05
49.271227,832.36
49.374059,832.36
49.474996,860.47
49.576697,875.00
49.677610,875.00
49.779370,875.00
49.880847,873.06
49.980915,896.32
50.082889,896.32
50.184439,843.02
50.285320,875.97
50.387270,875.97
50.488968,863.37
50.602689,846.90
50.704797,846.90
50.805491,863.37
50.907511,863.37
51.010417,863.37
51.111529,909.88
51.213034,843.99
51.315453,843.99
51.417588,835.27
51.520007,882.75
51.622251,882.75
51.723765,883.72
51.823962,878.88
51.925575,878.88
52.027370,884.69
52.129006,903.10
52.230695,906.98
52.332852,906.98
52.433400,895.35
52.535383,895.35
52.637337,895.35
52.738527,897.29
52.839336,899.22
52.940555,899.22
53.041943,895.35
53.153638,888.57
53.254582,888.57
53.356201,887.60
53.457650,873.06
53.558998,873.06
53.660667,899.22
53.761064,866.28
53.863303,866.28
