time,I
0.021049,0.00
0.121849,0.00
0.223138,0.00
0.323722,0.00
0.425003,0.00
0.525762,0.00
0.627258,0.00
0.727908,0.00
0.828767,0.00
0.930318,0.00
1.032462,0.00
1.134781,0.00
1.236330,0.00
1.338955,0.00
1.441101,0.00
1.543570,0.00
1.644780,0.00
1.746936,0.00
1.848707,0.00
1.950869,0.00
2.052835,0.00
2.153414,0.00
2.255112,0.00
2.356783,0.00
2.458161,0.00
2.559930,0.00
2.661046,0.00
2.762284,0.00
2.863316,0.00
2.964303,0.00
3.065086,0.00
3.165618,0.00
3.267198,0.00
3.369293,0.00
3.471237,0.00
3.574287,0.00
3.676759,0.00
3.778707,0.00
3.879565,0.00
3.981340,0.00
4.084446,0.00
4.186072,0.00
4.287401,0.00
4.389053,0.00
4.490721,0.00
4.591736,0.00
4.693887,0.00
4.795872,0.00
4.898229,0.00
5.000484,0.00
5.103427,0.00
5.205073,0.00
5.305607,0.00
5.407490,0.00
5.509375,0.00
5.612281,0.00
5.715056,0.00
5.816645,0.00
5.917953,0.00
6.019237,0.00
6.122095,0.00
6.223305,0.00
6.324602,0.00
6.426283,0.00
6.528614,0.00
6.631051,0.00
6.732082,0.00
6.832786,0.00
6.935593,0.00
7.036836,0.00
7.137789,0.00
7.239520,0.00
7.341084,0.00
7.442735,0.00
7.544520,0.00
7.646226,0.00
7.746593,0.00
7.848637,0.00
7.949834,0.00
8.052277,0.00
8.155353,0.00
8.257313,0.00
8.359912,0.00
8.461982,0.00
8.562365,0.00
8.664676,0.00
8.766456,0.00
8.868401,0.00
8.970416,0.00
9.072037,0.00
9.172678,0.00
9.274186,0.00
9.376114,0.00
9.477203,0.00
9.577940,0.00
9.680231,0.00
9.780708,0.00
9.883564,0.00
9.985385,0.00
10.087404,0.00
10.189623,0.00
10.291979,0.00
10.393057,0.00
10.493827,0.00
10.596339,0.00
10.697683,0.00
10.798685,0.00
10.900618,0.00
11.002826,0.00
11.104117,0.00
11.206166,0.00
11.306766,0.00
11.408483,0.00
11.510110,0.00
11.612234,0.00
11.712373,0.00
11.814020,0.00
11.915553,0.00
12.017086,0.00
12.119008,0.00
12.221156,0.00
12.322643,0.00
12.424116,0.00
12.524826,0.00
12.627619,0.00
12.728620,0.00
12.830102,0.00
12.931482,0.00
13.033953,0.00
13.135951,0.00
13.237408,0.00
13.339190,0.00
13.440431,0.00
13.541420,0.00
13.642445,0.00
13.743800,0.00
13.845174,0.00
13.945930,0.00
14.047392,0.00
14.150574,0.00
14.252564,0.00
14.354144,0.00
14.456079,0.00
14.556707,0.00
14.659323,0.00
14.762251,0.00
14.864690,0.00
14.967191,0.00
15.068655,0.00
15.170936,0.00
15.271842,0.00
15.372944,0.00
15.474436,0.00
15.576178,0.00
15.677102,0.00
15.777785,0.00
15.880333,0.00
15.981766,0.00
16.083433,0.00
16.185068,0.00
16.285657,0.00
16.387430,0.00
16.489125,0.00
16.590477,0.00
16.693343,0.00
16.794907,0.00
16.897042,0.00
16.999641,0.00
17.100840,0.00
17.201774,0.00
17.303425,0.00
17.405044,0.00
17.505608,0.00
17.608663,0.00
17.710772,0.00
17.812649,0.00
17.915377,0.00
18.016553,0.00
18.119408,0.00
18.221088,0.00
18.322920,0.00
18.424365,0.00
18.526132,0.00
18.627866,0.00
18.729232,0.00
18.830831,0.00
18.933369,0.00
19.035985,0.00
19.137504,0.00
19.240456,0.00
19.341624,0.00
19.443557,0.00
19.544934,0.00
19.647498,0.00
19.748590,0.00
19.850964,0.00
19.951981,0.00
20.053771,0.00
20.154870,0.00
20.256920,0.00
20.360094,0.00
20.460965,0.00
20.562061,0.00
20.663698,0.00
20.764340,0.00
20.866029,0.00
20.968709,0.00
21.070989,0.00
21.173510,0.00
21.275357,0.00
21.378014,0.00
21.478799,0.00
21.579486,0.00
21.681827,0.00
21.782445,0.00
21.883613,0.00
21.984725,0.00
22.087052,0.00
22.188641,0.00
22.289938,0.00
22.392196,0.00
22.493748,0.00
22.596631,0.00
22.697840,0.00
22.800037,0.00
22.901056,0.00
23.003584,0.00
23.106079,0.00
23.208607,0.00
23.310879,0.00
23.412121,0.00
23.513215,0.00
23.614270,0.00
23.716594,0.00
23.818875,0.00
23.920721,0.00
24.023055,0.00
24.125107,0.00
24.226146,0.00
24.326835,0.00
24.427710,0.00
24.528788,0.00
24.630071,0.00
24.732437,0.00
24.834963,0.00
24.936687,0.00
25.038262,0.00
25.139732,0.00
25.240852,0.00
25.343407,0.00
25.445115,0.00
25.547082,0.00
25.648350,0.00
25.749574,0.00
25.851054,0.00
25.952932,0.00
26.054071,0.00
26.155493,0.00
26.257790,0.00
26.359028,0.00
26.461465,0.00
26.562973,0.00
26.664741,0.00
26.767351,0.00
26.868506,0.00
26.971650,0.00
27.073241,0.00
27.173545,0.00
27.276186,0.00
27.378008,0.00
27.480418,0.00
27.582188,0.00
27.684198,0.00
27.784726,0.00
27.885348,0.00
27.987911,0.00
28.088831,0.00
28.191418,0.00
28.292905,0.00
28.393828,0.00
28.496233,0.00
28.598351,0.00
28.700892,0.00
28.802184,0.00
28.904328,0.00
29.007817,0.00
29.109617,0.00
29.211542,0.00
29.314662,0.00
29.416258,0.00
29.519497,0.00
29.620634,0.00
29.723230,0.00
29.824156,0.00
29.924820,0.00
30.026202,0.00
30.128172,0.00
