time,I
0.035364,771.32
0.136214,770.35
0.237549,770.35
0.338349,770.35
0.439898,769.38
0.540199,769.38
0.641193,769.38
0.742725,769.38
0.843327,769.38
0.945053,769.38
1.047205,770.35
1.149644,770.35
1.250414,770.35
1.352791,769.38
1.453605,769.38
1.554325,769.38
1.655301,769.38
1.757124,770.35
1.858278,770.35
1.960119,770.35
2.062567,770.35
2.163543,770.35
2.265584,770.35
2.366234,770.35
2.468015,770.35
2.570530,770.35
2.671612,771.32
2.773591,771.32
2.874127,771.32
2.974909,770.35
3.075830,770.35
3.178009,770.35
3.279245,770.35
3.380399,770.35
3.482202,770.35
3.584014,770.35
3.684989,771.32
3.785393,771.32
3.886723,771.32
3.987782,771.32
4.089661,771.32
4.191942,771.32
4.293476,771.32
4.394319,771.32
4.495831,771.32
4.597218,771.32
4.698537,771.32
4.800215,771.32
4.901595,771.32
5.004541,771.32
5.105547,771.32
5.206857,771.32
5.307623,771.32
5.409038,771.32
5.510468,771.32
5.611465,771.32
5.712568,771.32
5.814601,771.32
5.915711,771.32
6.017856,771.32
6.120269,771.32
6.221467,772.29
6.322876,772.29
6.423893,772.29
6.536286,771.32
6.638552,771.32
6.739862,771.32
6.840501,771.32
6.941785,771.32
7.042644,771.32
7.143933,771.32
7.244004,771.32
7.345227,771.32
7.447485,771.32
7.549227,771.32
7.651159,771.32
7.752737,771.32
7.854257,771.32
7.955682,771.32
8.056662,771.32
8.157014,771.32
8.256915,771.32
8.357088,771.32
8.456941,771.32
8.557441,771.32
8.658281,771.32
8.759402,771.32
8.860566,771.32
8.961613,771.32
9.063340,771.32
9.165230,771.32
9.267240,771.32
9.370291,771.32
9.472146,771.32
9.574831,771.32
9.675173,771.32
9.777142,771.32
9.877392,771.32
9.978616,770.35
10.079620,770.35
10.182279,771.32
10.283640,770.35
10.386114,770.35
10.487238,771.32
10.588954,770.35
10.689673,770.35
10.790549,771.32
10.892791,771.32
10.994388,771.32
11.095582,771.32
11.196588,771.32
11.298422,771.32
11.399966,771.32
11.500798,771.32
11.602022,771.32
11.702977,771.32
11.805233,771.32
11.906467,771.32
12.009523,771.32
12.111201,771.32
12.213931,771.32
12.314390,771.32
12.417236,771.32
12.518280,771.32
12.621228,771.32
12.722088,772.29
12.822326,771.32
12.923272,771.32
13.025910,771.32
13.127849,771.32
13.228693,771.32
13.329739,771.32
13.433521,771.32
13.534683,771.32
13.636696,771.32
13.737937,771.32
13.839037,771.32
13.939956,771.32
14.041007,771.32
14.141801,771.32
14.244016,771.32
14.346525,771.32
14.448938,771.32
14.550611,771.32
14.652821,771.32
14.755039,771.32
14.857840,771.32
14.958381,771.32
15.061252,771.32
15.163274,771.32
15.265845,771.32
15.373242,772.29
15.475781,772.29
15.577132,772.29
15.678461,772.29
15.780242,772.29
15.882129,771.32
15.983534,771.32
16.085926,771.32
16.186484,771.32
16.287917,771.32
16.390379,771.32
16.492091,771.32
16.592623,771.32
16.693501,771.32
16.794888,771.32
16.895744,771.32
16.998309,771.32
17.101228,771.32
17.203375,771.32
17.305174,771.32
17.407069,771.32
17.507831,771.32
17.608553,771.32
17.709932,771.32
17.811147,771.32
17.922802,772.29
18.023677,772.29
18.124510,773.26
18.225530,772.29
18.326438,772.29
18.427418,772.29
18.528553,772.29
18.629417,772.29
18.730373,772.29
18.831669,772.29
18.932682,772.29
19.033812,772.29
19.136640,772.29
19.238266,772.29
19.340949,772.29
19.442838,772.29
19.545480,772.29
19.648276,772.29
19.749482,772.29
19.853048,772.29
19.953922,772.29
20.054792,773.26
20.155851,773.26
20.257450,773.26
20.360098,773.26
20.461482,773.26
20.564279,773.26
20.666494,773.26
20.775632,774.22
20.878327,774.22
20.980644,773.26
21.082355,773.26
21.185138,773.26
21.288664,773.26
21.391144,773.26
21.494385,773.26
21.597209,774.22
21.698189,773.26
21.800114,773.26
21.901419,773.26
22.002546,774.22
22.104547,774.22
22.206214,774.22
22.309393,774.22
22.410972,774.22
22.512161,774.22
22.614854,774.22
22.717297,774.22
22.819132,774.22
22.921748,774.22
23.022797,774.22
23.125141,774.22
23.227239,774.22
23.330343,774.22
23.433268,774.22
23.534596,774.22
23.635387,773.26
23.736221,773.26
23.837314,774.22
23.938636,774.22
24.040952,774.22
24.142390,774.22
24.243382,773.26
24.345188,773.26
24.446907,773.26
24.547808,774.22
24.649633,774.22
24.750545,773.26
24.851868,774.22
24.954503,774.22
25.056144,774.22
25.159518,774.22
25.260860,774.22
25.362774,774.22
25.464052,774.22
25.566415,774.22
25.667326,774.22
25.768615,773.26
25.870598,773.26
25.972903,773.26
26.074244,773.26
26.175717,773.26
26.277731,773.26
26.379035,773.26
26.479741,773.26
26.582523,773.26
26.684471,773.26
26.785960,773.26
26.887567,773.26
26.990335,772.29
27.092513,772.29
27.194541,772.29
27.296959,773.26
27.397410,772.29
27.498825,772.29
27.600876,773.26
27.702444,773.26
27.803714,773.26
27.906241,773.26
28.008166,772.29
28.109202,772.29
28.212575,772.29
28.313798,773.26
28.425610,772.29
28.528064,772.29
28.628505,773.26
28.730617,773.26
28.831886,773.26
28.934395,772.29
29.047197,772.29
29.147951,772.29
29.250214,772.29
29.352081,773.26
29.454737,773.26
29.557247,773.26
29.658271,772.29
29.758785,773.26
29.861462,773.26
29.962654,773.26
30.063619,773.26
30.166345,773.26
30.268760,773.26
30.380040,772.29
30.482053,772.29
30.584056,772.29
30.685718,772.29
30.788302,772.29
30.891413,773.26
30.993168,772.29
31.094953,772.29
31.196153,772.29
31.298202,773.26
31.399301,773.26
31.500948,772.29
31.602567,772.29
31.704988,772.29
31.806542,772.29
31.908951,772.29
32.010446,772.29
32.112146,772.29
32.213767,772.29
32.314270,774.22
32.415124,774.22
32.515748,774.22
32.617673,773.26
32.720066,773.26
32.820491,774.22
32.928494,773.26
33.031091,773.26
33.132626,773.26
33.233639,773.26
33.334747,773.26
33.435270,773.26
33.536677,773.26
